Class	Track	Level	Name	Description	StatChange
Gunslinger	Shootin’	1	Cool hand	At the start of any Fight Turn, you may reduce your Initiative by 3 to gain +1 Shot with a ?? Gun.	+1 Max Grit
Gunslinger	Shootin’	2	Through Shot	Any time you kill an Enemy with a ?? Gun, you may immediately do D6 Damage to another Enemy in one of the three adjacent spaces behind it.	
Gunslinger	Shootin’	3	Master Of Killin’	You may now use your Six-Shooter Shots with any Gun, not just Pistols.	+1 Max Grit
Gunslinger	Shootin’	4	Best Shot In The West	Ranged To Hit 2+	
Gunslinger	Showmanship	1	Catch Phrase	Once per Adventure, you may say your Catch Phrase to immediately Heal 2D6 Wounds or to add D6 Damage to one of your Hits.	
Gunslinger	Showmanship	2	Character Piece	Draw an additional Personal Item.	
Gunslinger	Showmanship	3	Call Your Shot	Before rolling To Hit, choose a number. Any die that rolls the chosen number does an extra 1 Damage, ignoring Defense, even if the shot would normally have missed.	
Gunslinger	Showmanship	4	Charmed Life	You start every Adventure with a Revive Token, usable only by you. Gain 25 XP any time you use it.	+1 Lore
Gunslinger	Way Of The Gun	1	Ricochet Shots	Start with up to 2 Ricochet Shots in your Six-Shooter.	
Gunslinger	Way Of The Gun	2	Cerberus Shots	Start with up to 2 Cerberus Shots in your Six-Shooter.	
Gunslinger	Way Of The Gun	3	Hellfire Shots	Start with up to 2 Hellfire Shots in your Six-Shooter.	
Gunslinger	Way Of The Gun	4	The Right Tool	You may start each Adventure with any mix of Shot Types in your Six-Shooter Template.	+1 Max Grit
Gunslinger	Reputation	1	Hushed Whispers	You now start every Adventure and Travel/Town Stay with an extra Grit.	
Gunslinger	Reputation	2	Card shark	Any time you win at Gambling in Town, you gain an extra D6x$10.	+1 Cunning and +1 Luck
Gunslinger	Reputation	3	Killer	You may now use up to 2 Shots from your Six-Shooter Template on each Hit.	+1 Max Grit
Gunslinger	Reputation	4	Legend Of The West	Once per Fight, use 2 Grit to add extra Damage to one of your Hits, equal to your current Hero Level.	
